start,duration,value
2019-12-09T09:21:00+01:00,[60],[10]
2019-12-09T11:22:00+01:00,"[60,60,60,60,60]","[61,61,62,62,24]"
2019-12-09T18:14:00+01:00,"[60,60,60,60,60,60,60]","[3,3,3,4,4,4,4]"
2019-12-09T21:12:00+01:00,"[60,60,60,60,60,60]","[4,4,5,5,5,4]"
2019-12-09T23:24:00+01:00,[60],[7]
2019-12-10T00:46:00+01:00,[60],[12]
2019-12-10T01:53:00+01:00,[60],[10]
2019-12-10T03:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[38,38,39,39,39,39,39,39,39,39,18]"
2019-12-11T03:59:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[71,71,71,71,71,72,72,72,72,72,15]"
2019-12-11T04:50:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[62,62,62,62,62,62,62,63,63,3]"
2019-12-11T05:02:00+01:00,[60],[8]
2019-12-11T05:32:00+01:00,"[60,60,60,60,60,60,60,60,60]","[73,73,73,74,74,74,74,74,32]"
2019-12-11T06:04:00+01:00,"[60,60,60,60,60,60]","[5,5,5,6,6,4]"
2019-12-11T07:17:00+01:00,[60],[2]
2019-12-11T08:28:00+01:00,"[60,60,60,60,60]","[2,2,2,3,3]"
2019-12-11T09:52:00+01:00,[60],[2]
2019-12-11T12:34:00+01:00,[60],[8]
2019-12-11T17:58:00+01:00,"[60,60,60,60,60,60]","[6,6,7,7,7,7]"
2019-12-11T19:19:00+01:00,[60],[27]
2019-12-11T22:00:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[7,8,8,8,8,8,8,8,8,8,5]"
