start,duration,value
2019-12-07T20:32:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[2.055,2.055,2.055,2.055,2.055,2.055,2.055,2.08,2.08,2.08,2.154,2.204,2.204,2.204,2.204,0.421]"
2019-12-07T22:08:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[1.931,1.931,1.931,1.931,1.931,1.931,1.956,1.956,1.956,1.956,2.005,2.129,2.154,2.154,2.154,2.154,1.832]"
2019-12-07T22:56:00+01:00,[60],[0.148]
2019-12-08T01:20:00+01:00,"[60,60,60,60,60,60,60,60]","[0.123,0.123,0.123,0.123,0.148,0.148,0.148,0.099]"
2019-12-08T01:34:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[2.253,2.253,2.253,2.253,2.253,2.278,2.278,2.278,2.278,2.278,2.129,2.055,2.08,2.08,2.08,1.51]"
2019-12-08T02:00:00+01:00,[60],[0.495]
2019-12-08T02:20:00+01:00,"[60,60,60,60,60,60,60]","[0.049,0.049,0.049,0.049,0.049,0.049,0.049]"
2019-12-08T02:29:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.139,1.287,2.105,2.105,2.105,2.105,2.105,2.105,2.105,2.129,0.693,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.074]"
2019-12-08T04:55:00+01:00,"[60,60,60,60,60,60,60]","[0.074,0.099,0.099,0.099,0.099,0.099,0.049]"
2019-12-08T19:47:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[1.931,1.931,1.931,1.931,1.931,1.931,1.931,1.931,1.931,1.956,1.362,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.049,1.609,1.634,1.634,1.634,1.634,1.634,1.634,1.634,1.634,1.634,2.352,2.476,2.476,2.476,2.501,1.882]"
2019-12-09T02:19:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0.148,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.049]"
2019-12-09T02:40:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[2.08,2.08,2.08,2.08,2.08,2.08,2.105,2.105,2.105,2.105,1.708]"
2019-12-09T02:54:00+01:00,[60],[0.198]
2019-12-09T03:14:00+01:00,[60],[0.222]
