start,duration,value
2019-12-09T09:21:00+01:00,[60],[7.466]
2019-12-09T11:22:00+01:00,"[60,60,60,60,60]","[45.542,45.542,46.289,46.289,17.918]"
2019-12-09T18:14:00+01:00,"[60,60,60,60,60,60,60]","[2.239,2.239,2.239,2.986,2.986,2.986,2.986]"
2019-12-09T21:12:00+01:00,"[60,60,60,60,60,60]","[2.986,2.986,3.733,3.733,3.733,2.986]"
2019-12-09T23:24:00+01:00,[60],[5.226]
2019-12-10T00:46:00+01:00,[60],[8.959]
2019-12-10T01:53:00+01:00,[60],[7.466]
2019-12-10T03:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[28.37,28.37,29.117,29.117,29.117,29.117,29.117,29.117,29.117,29.117,13.438]"
2019-12-11T03:59:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[53.008,53.008,53.008,53.008,53.008,53.755,53.755,53.755,53.755,53.755,11.199]"
2019-12-11T04:50:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[46.289,46.289,46.289,46.289,46.289,46.289,46.289,47.036,47.036,2.239]"
2019-12-11T05:02:00+01:00,[60],[5.972]
2019-12-11T05:32:00+01:00,"[60,60,60,60,60,60,60,60,60]","[54.502,54.502,54.502,55.248,55.248,55.248,55.248,55.248,23.891]"
2019-12-11T06:04:00+01:00,"[60,60,60,60,60,60]","[3.733,3.733,3.733,4.479,4.479,2.986]"
2019-12-11T07:17:00+01:00,[60],[1.493]
2019-12-11T08:28:00+01:00,"[60,60,60,60,60]","[1.493,1.493,1.493,2.239,2.239]"
2019-12-11T09:52:00+01:00,[60],[1.493]
2019-12-11T12:34:00+01:00,[60],[5.972]
2019-12-11T17:58:00+01:00,"[60,60,60,60,60,60]","[4.479,4.479,5.226,5.226,5.226,5.226]"
2019-12-11T19:19:00+01:00,[60],[20.158]
2019-12-11T22:00:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[5.226,5.972,5.972,5.972,5.972,5.972,5.972,5.972,5.972,5.972,3.733]"
2019-12-14T20:21:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[13.438,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,8.212,70.927,70.927,70.927,70.927,70.927,71.673,71.673,71.673,71.673,65.701]"
2019-12-14T23:23:00+01:00,"[60,60,60,60]","[6.719,6.719,6.719,6.719]"
2019-12-14T23:35:00+01:00,"[60,60,60,60,60,60]","[37.33,36.583,36.583,37.33,37.33,8.959]"
2019-12-14T23:45:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[35.09,35.09,35.09,35.09,35.09,35.09,35.09,35.09,35.836,18.665]"
2019-12-15T01:22:00+01:00,"[60,60,60,60,60,60,60,60]","[35.836,35.836,35.836,35.836,36.583,36.583,36.583,29.864]"
2019-12-15T01:34:00+01:00,"[60,60,60]","[47.782,48.529,39.57]"
2019-12-15T01:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[33.597,33.597,33.597,33.597,33.597,34.343,34.343,34.343,34.343,11.199,14.932,14.932,15.678,15.678,15.678,15.678,15.678,15.678,15.678,15.678,22.398,44.049,44.049,44.049,44.049,44.049,44.049,44.049,44.049,44.796,16.425,11.945]"
2019-12-15T02:38:00+01:00,[60],[19.411]
2019-12-15T03:09:00+01:00,[60],[8.959]
